N°,TIPO,FECHA,MODALIDAD,DIRECCIÓN,SECTOR,CATEGORIA
"1,007",APOYO A PNP,18/10/2018 17:15,,"CA. LAS GROJILLAS N° 0371, SAN ISIDRO",5-2,
"1,008",APOYO A PNP,18/10/2018 17:01,,"AV. REPUBLICA, PASEO DE LA N° 3147, SAN ISIDRO",4-4,
"1,009",APOYO A PNP,18/10/2018 16:46,,"CA. DE ACOSTA, JOSÉ N° 0127, SAN ISIDRO",2-1,
"1,010",APOYO A PNP,18/10/2018 16:27,,"PQ. PARQUE GRECIA N° SN, SAN ISIDRO",2-7,
"1,011",APOYO A PNP,18/10/2018 15:56,,"CA. FERREYROS URMENETA, DR. CARLOS ENRIQUE N° 0517, SAN ISIDRO",5-3,
"1,012",APOYO A PNP,18/10/2018 15:26,,"C.HAB RESIDENCIAL SANTA CRUZ BLK A , SAN ISIDRO",2-4,
"1,013",APOYO A PNP,18/10/2018 15:17,,"AV. DOS DE MAYO N° 0961, SAN ISIDRO",1-2,
"1,014",APOYO A PNP,18/10/2018 14:58,,"CA. MARCONI, GUILLERMO N° SN, SAN ISIDRO",1-1,
"1,015",APOYO A PNP,18/10/2018 14:06,,"AV. PEZET, GENERAL JUAN ANTONIO N° 0543, SAN ISIDRO",2-5,
"1,016",APOYO A PNP,18/10/2018 14:00,,"C.HAB RESIDENCIAL SANTA CRUZ BLK STU , SAN ISIDRO",2-4,
"1,017",APOYO A PNP,18/10/2018 13:59,,"C.HAB RESIDENCIAL SANTA CRUZ BLK A-107 , SAN ISIDRO",2-4,
"1,018",APOYO A PNP,18/10/2018 13:31,,"CA. SALAZAR, ALFÉREZ ALFREDO N° SN, SAN ISIDRO",2-5,
"1,019",APOYO A PNP,18/10/2018 13:24,,"CA. SANTOS MATEO, ALFÉREZ MARIANO N° 0171, SAN ISIDRO",4-4,
"1,020",APOYO A PNP,18/10/2018 13:24,,"AV. SALAVERRY, GENERAL N° 2848, SAN ISIDRO",1-3,
"1,021",APOYO A PNP,18/10/2018 13:23,,"CA. POLAR, JUAN MANUEL N° 0104, SAN ISIDRO",1-3,
"1,022",APOYO A PNP,18/10/2018 13:22,,"CA. CLEMENTE X N° 0110, SAN ISIDRO",1-3,
"1,023",APOYO A PNP,18/10/2018 13:15,,"CA. LA NIÑA N° 0112, SAN ISIDRO",3-3,
"1,024",APOYO A PNP,18/10/2018 13:10,,"CA. LOS LIBERTADORES N° 0325, SAN ISIDRO",3-2,
"1,025",APOYO A PNP,18/10/2018 13:07,,"AV. GALVEZ BARRENECHEA, JOSÉ N° 0592 PIS 2-202, SAN ISIDRO",5-2,
"1,026",APOYO A PNP,18/10/2018 13:00,,"CA. 28 (URB. CORPAC) N° 0271, SAN ISIDRO",5-4,
"1,027",APOYO A PNP,18/10/2018 12:43,,"CA. ALOMIA ROBLES, DANIEL N° 0153, SAN ISIDRO",3-3,
"1,028",APOYO A PNP,18/10/2018 12:13,,"AV. ARAMBURU, ANDRÉS N° 0101, SAN ISIDRO",4-3,
"1,029",APOYO A PNP,18/10/2018 12:12,,"AV. DASSO, MIGUEL N° 0100, SAN ISIDRO",2-5,
"1,030",APOYO A PNP,18/10/2018 12:02,,"AV. DEL PARQUE, SAN ISIDRO",4-4,
"1,031",APOYO A PNP,18/10/2018 11:25,,"CA. LOS LAURELES N° 0214, SAN ISIDRO",1-2,
"1,032",APOYO A PNP,18/10/2018 11:23,,"CA. 34 SUR N° 0222, SAN ISIDRO",5-1,
"1,033",APOYO A PNP,18/10/2018 11:22,,"AV. PRADO ESTE, JAVIER N° 0195, SAN ISIDRO",4-1,
"1,034",APOYO A PNP,18/10/2018 11:18,,"AV. LOS CONQUISTADORES N° 0510, SAN ISIDRO",3-2,
"1,035",APOYO A PNP,18/10/2018 11:17,,"CA. MARCONI, GUILLERMO N° 0209, SAN ISIDRO",1-1,
"1,036",APOYO A PNP,18/10/2018 10:28,,"CA. FRATERNIDAD N° 0110, SAN ISIDRO",5-4,
"1,037",APOYO A PNP,18/10/2018 10:26,,"CA. REYES, CORONEL ANDRÉS N° 0510, SAN ISIDRO",4-2,
"1,038",APOYO A PNP,18/10/2018 10:23,,"CA. ANGULO RAMIREZ, DR. RICARDO J. N° 0382, SAN ISIDRO",5-2,
"1,039",APOYO A PNP,18/10/2018 10:21,,"CA. CHABRIER, TENIENTE ALBERTO RENÉ N° 0211, SAN ISIDRO",2-3,
"1,040",APOYO A PNP,18/10/2018 10:18,,"CA. FLORA TRISTAN N° 0401, SAN ISIDRO",1-3,
"1,041",APOYO A PNP,18/10/2018 09:43,,"AV. DE RIBERA, NICOLÁS N° SN, SAN ISIDRO",3-2,
"1,042",APOYO A PNP,18/10/2018 09:32,,"AV. GALVEZ BARRENECHEA, JOSÉ N° 0153, SAN ISIDRO",5-3,
"1,043",APOYO A PNP,18/10/2018 09:28,,"CA. FRATERNIDAD N° 0110, SAN ISIDRO",5-4,
"1,044",APOYO A PNP,18/10/2018 09:02,,"PQ. CAPITAN F.A.P. RENAN ELIAS OLIVERA N° 0003, SAN ISIDRO",2-3,
"1,045",APOYO A PNP,18/10/2018 09:00,,"AV. PRESCOTT, GUILLERMO N° 0501, SAN ISIDRO",1-1,
"1,046",APOYO A PNP,18/10/2018 08:49,,"CA. PANCHO FIERRO N° 0114, SAN ISIDRO",3-3,
"1,047",APOYO A PNP,18/10/2018 08:48,,"CA. OLAECHEA Y OLAECHEA, MANUEL AUGUSTO N° 0255, SAN ISIDRO",2-5,
"1,048",APOYO A PNP,18/10/2018 08:46,,"CA. LAS FLORES N° 0605, SAN ISIDRO",1-5,
"1,049",APOYO A PNP,18/10/2018 08:45,,"CA. TOLEDO, VIRREY N° 0330, SAN ISIDRO",4-1,
"1,050",APOYO A PNP,18/10/2018 08:43,,"CA. 33 (URB. CORPAC) N° 0225, SAN ISIDRO",5-4,
"1,051",APOYO A PNP,18/10/2018 08:41,,"AV. DEL PARQUE SUR N° 0105, SAN ISIDRO",5-1,
"1,052",APOYO A PNP,18/10/2018 08:39,,"CA. LOS PETIRROJOS N° 0355, SAN ISIDRO",5-2,
"1,053",APOYO A PNP,18/10/2018 08:36,,"CA. ABASCAL, VIRREY N° 0201, SAN ISIDRO",4-1,
"1,054",APOYO A PNP,18/10/2018 08:26,,"CA. LA PERRICHOLI N° 0110, SAN ISIDRO",4-1,
"1,055",APOYO A PNP,18/10/2018 08:15,,"CA. MAIMONIDES, MOSHE BEN MAIMON, SAN ISIDRO",1-4,
"1,056",APOYO A PNP,18/10/2018 08:00,,"CA. OLAVIDE, SAN ISIDRO",4-1,
"1,057",APOYO A PNP,18/10/2018 07:47,,"CA. 3 SUR (URB. CORPAC) N° 0251, SAN ISIDRO",5-1,
"1,058",APOYO A PNP,18/10/2018 07:22,,"CA. GRAÑA ELIZALDE, CARLOS N° 0250, SAN ISIDRO",2-6,
"1,059",APOYO A PNP,18/10/2018 01:56,,"AV. PEREZ ARANIBAR, AUGUSTO, SAN ISIDRO",2-1,
"1,060",APOYO A PNP,18/10/2018 00:09,,"CA. VALMORE RONCALLA, DR. CAYETANO N° 0141, SAN ISIDRO",5-3,
"1,061",APOYO A PNP,17/10/2018 23:45,,"MA. BERNALES GARCIA, LUIS, SAN ISIDRO",2-1,
"1,062",APOYO A PNP,17/10/2018 23:29,,"AV. DEL PARQUE NORTE N° 0435, SAN ISIDRO",5-2,
"1,063",APOYO A PNP,17/10/2018 23:26,,"AV. PARDO Y ALIAGA, FELIPE, SAN ISIDRO",2-6,
"1,064",APOYO A PNP,17/10/2018 23:22,,"CA. FLORA TRISTAN N° 0485, SAN ISIDRO",1-3,
"1,065",APOYO A PNP,17/10/2018 22:30,,"AV. BASADRE GROHMANN, JORGE N° 0356, SAN ISIDRO",3-1,
"1,066",APOYO A PNP,17/10/2018 22:14,,"CA. DEL CARPIO, JUAN, SAN ISIDRO",4-3,
"1,067",APOYO A PNP,17/10/2018 21:22,,"CA. GARCIA, GODOFREDO N° 0155, SAN ISIDRO",2-2,
"1,068",APOYO A PNP,17/10/2018 20:39,,"AV. PEREZ ARANIBAR, AUGUSTO N° 1324, SAN ISIDRO",2-1,
"1,069",APOYO A PNP,17/10/2018 19:29,,"CA. 21 (URB. CORPAC) N° 0920, SAN ISIDRO",5-2,
"1,070",APOYO A PNP,17/10/2018 18:39,,"PZ. BOLLAR, PADRE CONSTANCIO N° 0313, SAN ISIDRO",4-1,
"1,071",APOYO A PNP,17/10/2018 18:05,,"CA. CLEMENT, GENERAL N° 0205, SAN ISIDRO",2-5,
"1,072",APOYO A PNP,17/10/2018 18:04,,"CA. ANGULO RAMIREZ, DR. RICARDO J. N° 1352, SAN ISIDRO",5-4,
"1,073",APOYO A PNP,17/10/2018 17:49,,"CA. VALLE RIESTRA, GRAL FRANCISCO N° 0386, SAN ISIDRO",2-2,
"1,074",APOYO A PNP,17/10/2018 17:39,,"AV. PETIT THOUARS N° 3247 PIS 1, SAN ISIDRO",4-1,
"1,075",APOYO A PNP,17/10/2018 17:24,,"AV. GALVEZ BARRENECHEA, JOSÉ N° 0492 OFIC 202, SAN ISIDRO",5-2,
"1,076",APOYO A PNP,17/10/2018 17:08,,"AV. REPUBLICA DE PANAMA N° 3000, SAN ISIDRO",4-4,
"1,077",APOYO A PNP,17/10/2018 17:04,,"CA. SALAZAR, ALFÉREZ ALFREDO N° 1024, SAN ISIDRO",2-5,
"1,078",APOYO A PNP,17/10/2018 17:02,,"AV. DOS DE MAYO N° 0161, SAN ISIDRO",3-1,
"1,079",APOYO A PNP,17/10/2018 17:00,,"AV. PRESCOTT, GUILLERMO N° 0501, SAN ISIDRO",1-1,
"1,080",APOYO A PNP,17/10/2018 16:57,,"AV. DE ALIAGA, JUAN N° 0424, SAN ISIDRO",1-3,
"1,081",APOYO A PNP,17/10/2018 16:56,,"CA. FERREYROS URMENETA, DR. CARLOS ENRIQUE N° 0404, SAN ISIDRO",5-3,
"1,082",APOYO A PNP,17/10/2018 16:46,,"CA. 24 (URB. CORPAC) N° 0290, SAN ISIDRO",5-4,
"1,083",APOYO A PNP,17/10/2018 16:42,,"CA. CLEMENTE X N° 0110, SAN ISIDRO",1-3,
"1,084",APOYO A PNP,17/10/2018 16:42,,"CA. LAS FLORES N° 0399, SAN ISIDRO",1-5,
"1,085",APOYO A PNP,17/10/2018 16:40,,"CA. CERDEÑA, MARISCAL BLAS N° 0150, SAN ISIDRO",2-5,
"1,086",APOYO A PNP,17/10/2018 15:46,,"AV. CANAVAL MOREYRA, ENRIQUE N° 0606, SAN ISIDRO",5-1,
"1,087",APOYO A PNP,17/10/2018 15:29,,"AV. DERTEANO, DIONISIO N° 0115, SAN ISIDRO",4-4,
"1,088",APOYO A PNP,17/10/2018 15:06,,"AV. GUARDIA CIVIL N° 1284, SAN ISIDRO",5-1,
"1,089",APOYO A PNP,17/10/2018 15:05,,"CA. REYES, CORONEL ANDRÉS N° 0421, SAN ISIDRO",4-2,
"1,090",APOYO A PNP,17/10/2018 12:52,,"CA. POLAR, JUAN MANUEL, SAN ISIDRO",1-3,
"1,091",APOYO A PNP,17/10/2018 12:47,,"AV. BELAUNDE, VÍCTOR A. 0147 - VIA PRINCIPAL N° 0181, SAN ISIDRO",3-2,
"1,092",APOYO A PNP,17/10/2018 12:47,,"CA. ALOMIA ROBLES, DANIEL N° 0153, SAN ISIDRO",3-3,
"1,093",APOYO A PNP,17/10/2018 12:44,,"AV. ALVAREZ CALDERON N° 0107, SAN ISIDRO",2-5,
"1,094",APOYO A PNP,17/10/2018 12:16,,"CA. FLORA TRISTAN, SAN ISIDRO",1-3,
"1,095",APOYO A PNP,17/10/2018 11:12,,"AV. PORTILLO, CORONEL PEDRO N° 0170, SAN ISIDRO",2-2,
"1,096",APOYO A PNP,17/10/2018 10:00,,"AV. PETIT THOUARS N° 2855, SAN ISIDRO",4-1,
"1,097",APOYO A PNP,17/10/2018 09:43,,"CA. MASIAS, FRANCISCO N° 0370, SAN ISIDRO",4-2,
"1,098",APOYO A PNP,17/10/2018 09:39,,"CA. 31 (URB. CORPAC) N° 0333, SAN ISIDRO",5-4,
"1,099",APOYO A PNP,17/10/2018 08:44,,"CA. DE LA TORRE GONZALES, AGUSTÍN N° 0200., SAN ISIDRO",3-3,
"1,100",APOYO A PNP,17/10/2018 08:12,,"AV. ALVAREZ CALDERON N° 0290 DPTO 202 B, SAN ISIDRO",2-5,
"1,101",APOYO A PNP,17/10/2018 08:00,,"AV. REPUBLICA DE PANAMA N° 3030, SAN ISIDRO",4-4,
"1,102",APOYO A PNP,17/10/2018 07:54,,"CA. 8 (URB. CORPAC) N° 0174 PIS 3, SAN ISIDRO",5-3,
"1,103",APOYO A PNP,17/10/2018 07:40,,"CA. TUCANES N° 0295, SAN ISIDRO",4-4,
"1,104",APOYO A PNP,17/10/2018 06:49,,"AV. PARDO Y ALIAGA, FELIPE N° 0616 INT 1202, SAN ISIDRO",3-2,
"1,105",APOYO A PNP,17/10/2018 06:38,,"AV. ALVAREZ CALDERON N° 0290 DPTO 202 B, SAN ISIDRO",2-5,
"1,106",APOYO A PNP,17/10/2018 06:34,,"C.HAB RESIDENCIAL SANTA CRUZ BLK G 406 , SAN ISIDRO",2-4,
"1,107",APOYO A PNP,17/10/2018 02:40,,"CA. LOS CEDROS, SAN ISIDRO",1-6,
"1,108",APOYO A PNP,17/10/2018 02:09,,"CA. ORDEN Y LIBERTAD, SAN ISIDRO",5-4,
"1,109",APOYO A PNP,17/10/2018 01:57,,"CA. FRATERNIDAD N° 0152, SAN ISIDRO",5-4,
"1,110",APOYO A PNP,17/10/2018 01:11,,"CA. LOS EUCALIPTOS N° 0415, SAN ISIDRO",1-5,
"1,111",APOYO A PNP,17/10/2018 00:08,,"AV. PEZET, GENERAL JUAN ANTONIO N° 1225, SAN ISIDRO",2-3,
"1,112",APOYO A PNP,16/10/2018 23:35,,"CA. 45 (URB. CORPAC) N° 0141 DPTO 601, SAN ISIDRO",5-2,
"1,113",APOYO A PNP,16/10/2018 23:07,,"CA. VALLE RIESTRA, GRAL FRANCISCO N° 0576, SAN ISIDRO",2-2,
"1,114",APOYO A PNP,16/10/2018 22:24,,"AV. GALVEZ BARRENECHEA, JOSÉ, SAN ISIDRO",5-4,
"1,115",APOYO A PNP,16/10/2018 22:11,,"PQ. MIGUEL DAMMERT MUELLE N° 0125, SAN ISIDRO",1-5,
"1,116",APOYO A PNP,16/10/2018 21:46,,"CA. ARENALES, PROLONGACIÓN GENERAL, SAN ISIDRO",3-3,
"1,117",APOYO A PNP,16/10/2018 21:40,,"PSJE. 22 (URB. CORPAC) N° 0067, SAN ISIDRO",5-4,
"1,118",APOYO A PNP,16/10/2018 21:37,,"CA. LOS JILGUEROS N° 0185, SAN ISIDRO",5-2,
"1,119",APOYO A PNP,16/10/2018 21:29,,"CA. ORDEN Y LIBERTAD N° 0133, SAN ISIDRO",5-4,
"1,120",APOYO A PNP,16/10/2018 21:19,,"CA. LOS OLIVOS, SAN ISIDRO",3-1,
"1,121",APOYO A PNP,16/10/2018 20:18,,"CA. LAS CASAS N° 0031 DPTO 203, SAN ISIDRO",4-1,
"1,122",APOYO A PNP,16/10/2018 20:03,,"CA. ANGULO RAMIREZ, DR. RICARDO J. N° 0337, SAN ISIDRO",5-2,
"1,123",APOYO A PNP,16/10/2018 19:45,,"AV. RIVERA NAVARRETE, RICARDO, SAN ISIDRO",4-2,
"1,124",APOYO A PNP,16/10/2018 19:33,,"CA. VALLE RIESTRA, GRAL FRANCISCO N° 0505, SAN ISIDRO",2-2,
"1,125",APOYO A PNP,16/10/2018 19:03,,"AV. REPUBLICA, PASEO DE LA N° 3082, SAN ISIDRO",4-2,
"1,126",APOYO A PNP,16/10/2018 18:29,,"CA. 2 (URB. CORPAC) N° 0220, SAN ISIDRO",5-2,
"1,127",APOYO A PNP,16/10/2018 18:06,,"AV. ARAMBURU, ANDRÉS N° 0609, SAN ISIDRO",4-4,
"1,128",APOYO A PNP,16/10/2018 18:05,,"CA. ROMA N° 0240, SAN ISIDRO",1-1,
"1,129",APOYO A PNP,16/10/2018 16:42,,"CA. LAS FLORES, SAN ISIDRO",1-5,
"1,130",APOYO A PNP,16/10/2018 16:27,,"CA. 54 (URB. CORPAC) N° 0290, SAN ISIDRO",5-1,
"1,131",APOYO A PNP,16/10/2018 16:02,,"CA. FERREYROS URMENETA, DR. CARLOS ENRIQUE N° 0960, SAN ISIDRO",5-3,
"1,132",APOYO A PNP,16/10/2018 15:37,,"AV. DEL PARQUE SUR, SAN ISIDRO",5-1,
"1,133",APOYO A PNP,16/10/2018 14:21,,"CA. LOS LAURELES N° 0383, SAN ISIDRO",1-5,
"1,134",APOYO A PNP,16/10/2018 14:04,,"CA. PALMIRA N° 0196, SAN ISIDRO",1-6,
"1,135",APOYO A PNP,16/10/2018 13:34,,"CA. ANTEQUERA, SAN ISIDRO",4-2,
"1,136",APOYO A PNP,16/10/2018 13:22,,,,
"1,137",APOYO A PNP,16/10/2018 13:15,,"AV. CAMINO REAL, SAN ISIDRO",3-1,
"1,138",APOYO A PNP,16/10/2018 13:11,,"AV. CANAVAL MOREYRA, ENRIQUE N° 0380, SAN ISIDRO",4-4,
"1,139",APOYO A PNP,16/10/2018 13:05,,"CA. ANTUNEZ DE MAYOLO, SANTIAGO N° 0265, SAN ISIDRO",2-2,
"1,140",APOYO A PNP,16/10/2018 12:57,,"CA. MASIAS, FRANCISCO N° 0555, SAN ISIDRO",4-2,
"1,141",APOYO A PNP,16/10/2018 12:33,,"C.HAB RESIDENCIAL SANTA CRUZ BLK N-407 , SAN ISIDRO",2-4,
"1,142",APOYO A PNP,16/10/2018 12:01,,"CA. ULLOA, ALBERTO N° 0103, SAN ISIDRO",2-5,
"1,143",APOYO A PNP,16/10/2018 10:43,,"PZ. BOLLAR, PADRE CONSTANCIO N° SN, SAN ISIDRO",3-1,
"1,144",APOYO A PNP,16/10/2018 10:00,,"CA. FUENTES, MANUEL ATANASIO N° 0109, SAN ISIDRO",4-1,
"1,145",APOYO A PNP,16/10/2018 09:15,,"CA. TELLERIA, SEBASTIAN N° 0106, SAN ISIDRO",4-1,
"1,146",APOYO A PNP,16/10/2018 09:02,,"AV. PAZ SOLDAN, SAN ISIDRO",3-1,
"1,147",APOYO A PNP,16/10/2018 08:39,,"CA. CERDEÑA, MARISCAL BLAS, SAN ISIDRO",2-6,
"1,148",APOYO A PNP,16/10/2018 08:31,,"AV. CANAVAL MOREYRA, ENRIQUE, SAN ISIDRO",4-4,
"1,149",APOYO A PNP,16/10/2018 07:20,,"AV. PEZET, GENERAL JUAN ANTONIO N° 1467, SAN ISIDRO",2-2,
"1,150",APOYO A PNP,16/10/2018 07:19,,"CA. REYES, CORONEL ANDRÉS, SAN ISIDRO",4-2,
"1,151",APOYO A PNP,16/10/2018 06:09,,"AV. PORTILLO, CORONEL PEDRO N° 0200, SAN ISIDRO",2-2,
"1,152",APOYO A PNP,16/10/2018 01:11,,"CA. 2 (URB. CORPAC), SAN ISIDRO",5-2,
"1,153",APOYO A PNP,16/10/2018 01:09,,"CA. LOS EUCALIPTOS N° 0623, SAN ISIDRO",1-5,
"1,154",APOYO A PNP,16/10/2018 00:39,,"CA. REYES, CORONEL ANDRÉS N° 0681, SAN ISIDRO",4-2,
"1,155",APOYO A PNP,16/10/2018 00:34,,"AV. RIVERA NAVARRETE, RICARDO N° 0600, SAN ISIDRO",4-2,
"1,156",APOYO A PNP,16/10/2018 00:23,,"AV. PRADO OESTE, JAVIER N° 1241, SAN ISIDRO",1-6,
"1,157",APOYO A PNP,16/10/2018 00:19,,"CA. LOS LAURELES N° 0501, SAN ISIDRO",1-5,
"1,158",APOYO A PNP,16/10/2018 00:14,,"AV. DE ALIAGA, JUAN N° 0424, SAN ISIDRO",1-3,
"1,159",APOYO A PNP,16/10/2018 00:14,,"AV. DE ALIAGA, JUAN, SAN ISIDRO",1-3,
"1,160",APOYO A PNP,15/10/2018 23:57,,"AV. PRADO ESTE, JAVIER, SAN ISIDRO",5-3,
"1,161",APOYO A PNP,15/10/2018 23:38,,"AV. RIVERA NAVARRETE, RICARDO N° 0600, SAN ISIDRO",4-2,
"1,162",APOYO A PNP,15/10/2018 22:41,,"AV. PETIT THOUARS N° 3391, SAN ISIDRO",4-1,
"1,163",APOYO A PNP,15/10/2018 21:39,,"AV. PARDO Y ALIAGA, FELIPE, SAN ISIDRO",2-6,
"1,164",APOYO A PNP,15/10/2018 20:39,,"CA. LAS GARZAS NORTE, SAN ISIDRO",4-4,
"1,165",APOYO A PNP,15/10/2018 20:29,,"AV. PRESCOTT, GUILLERMO N° 0288, SAN ISIDRO",1-2,
"1,166",APOYO A PNP,15/10/2018 19:42,,"CA. TORRES MATOS, SAN ISIDRO",2-5,
"1,167",APOYO A PNP,15/10/2018 19:16,,"CA. ORDEN Y LIBERTAD, SAN ISIDRO",5-4,
"1,168",APOYO A PNP,15/10/2018 18:35,,"AV. DEL PARQUE SUR, SAN ISIDRO",5-1,
"1,169",APOYO A PNP,15/10/2018 18:18,,"CA. CHINCHON N° 0875 PIS N°06, SAN ISIDRO",4-2,
"1,170",APOYO A PNP,15/10/2018 18:02,,"AV. CANAVAL MOREYRA, ENRIQUE N° 0380, SAN ISIDRO",4-4,
"1,171",APOYO A PNP,15/10/2018 16:19,,"CA. LOS CASTAÑOS, SAN ISIDRO",1-1,
"1,172",APOYO A PNP,15/10/2018 15:41,,"CA. DE BEAUDIEZ, TNTE CRNEL PAUL, SAN ISIDRO",2-3,
"1,173",APOYO A PNP,15/10/2018 15:17,,"AV. CANAVAL MOREYRA, ENRIQUE, SAN ISIDRO",4-4,
"1,174",APOYO A PNP,15/10/2018 15:07,,"CA. MAIMONIDES, MOSHE BEN MAIMON N° 0691 DPTO N°202, SAN ISIDRO",2-2,
"1,175",APOYO A PNP,15/10/2018 15:02,,"AV. ARAMBURU, ANDRÉS N° 0233, SAN ISIDRO",4-3,
"1,176",APOYO A PNP,15/10/2018 15:00,,"CA. COCHRANE, ALMIRANTE LORD N° 0100, SAN ISIDRO",3-2,
"1,177",APOYO A PNP,15/10/2018 14:58,,"AV. SANTA CRUZ N° 0410, SAN ISIDRO",3-3,
"1,178",APOYO A PNP,15/10/2018 13:58,,"CA. MACHAYPUITO, SAN ISIDRO",3-1,
"1,179",APOYO A PNP,15/10/2018 13:41,,"CA. ROCCA DE VERGALLO, NICANOR N° 0270, SAN ISIDRO",1-3,
"1,180",APOYO A PNP,15/10/2018 12:20,,"CA. LOS ALAMOS, SAN ISIDRO",1-6,
"1,181",APOYO A PNP,15/10/2018 12:09,,"AV. PRADO ESTE, JAVIER N° 1112 DPTO 101, SAN ISIDRO",5-2,
"1,182",APOYO A PNP,15/10/2018 11:09,,"CA. CLEMENTE X N° 0138, SAN ISIDRO",1-3,
"1,183",APOYO A PNP,15/10/2018 10:45,,"PQ. PARQUE DE ACOSTA JOSE N° SN, SAN ISIDRO",2-1,
"1,184",APOYO A PNP,15/10/2018 10:22,,"CA. MORALES DE LA TORRE, RAYMUNDO, SAN ISIDRO",3-3,
"1,185",APOYO A PNP,15/10/2018 10:12,,"AV. TUDELA Y VARELA, FRANCISCO N° 0440, SAN ISIDRO",2-6,
"1,186",APOYO A PNP,15/10/2018 10:00,,"CA. LOS CASTAÑOS N° 0240, SAN ISIDRO",1-1,
"1,187",APOYO A PNP,15/10/2018 09:55,,"CA. VALLE RIESTRA, GRAL FRANCISCO N° 0354, SAN ISIDRO",2-2,
"1,188",APOYO A PNP,15/10/2018 09:40,,"PQ. ERNESTO ALAYZA GRUNDY  (URB. CHACARILLA STA. CRUZ) N° SN, SAN ISIDRO",2-6,
"1,189",APOYO A PNP,15/10/2018 09:37,,"CA. VILLARREAL, FEDERICO N° 0271, SAN ISIDRO",4-1,
"1,190",APOYO A PNP,15/10/2018 09:05,,"CA. ELESPURU, JUAN NORBERTO N° 0476, SAN ISIDRO",1-4,
"1,191",APOYO A PNP,15/10/2018 09:00,,"AV. SALAVERRY, GENERAL, SAN ISIDRO",1-3,
"1,192",APOYO A PNP,15/10/2018 08:52,,"CA. A (URB. ORRANTIA DEL MAR - V ZONA) N° 0354, SAN ISIDRO",2-7,
"1,193",APOYO A PNP,15/10/2018 08:50,,"CA. FERREYROS URMENETA, DR. CARLOS ENRIQUE N° 1028 DPTO 502, SAN ISIDRO",5-3,
"1,194",APOYO A PNP,15/10/2018 08:46,,"AV. EL ROSARIO, SAN ISIDRO",1-6,
"1,195",APOYO A PNP,15/10/2018 08:41,,"AV. DE ALIAGA, JUAN, SAN ISIDRO",1-3,
"1,196",APOYO A PNP,15/10/2018 08:40,,"CA. A (URB. ORRANTIA DEL MAR - V ZONA), SAN ISIDRO",2-7,
"1,197",APOYO A PNP,15/10/2018 08:40,,"AV. DE RIBERA, NICOLÁS, SAN ISIDRO",3-1,
"1,198",APOYO A PNP,15/10/2018 08:33,,"CA. A (URB. ORRANTIA DEL MAR - V ZONA), SAN ISIDRO",2-7,
"1,199",APOYO A PNP,15/10/2018 08:21,,"AV. PETIT THOUARS N° 2855, SAN ISIDRO",4-1,
"1,200",APOYO A PNP,15/10/2018 08:20,,"C.HAB RESIDENCIAL SANTA CRUZ BLK G , SAN ISIDRO",2-4,
"1,201",APOYO A PNP,15/10/2018 08:17,,"CA. FUENTES, MANUEL ATANASIO N° 0526, SAN ISIDRO",4-3,
"1,202",APOYO A PNP,15/10/2018 07:47,,"PQ. GENERAL LA FUENTE N° SN, SAN ISIDRO",2-2,
"1,203",APOYO A PNP,15/10/2018 06:55,,"AV. PEZET, GENERAL JUAN ANTONIO N° 0543 DPTO 701, SAN ISIDRO",2-5,
"1,204",APOYO A PNP,15/10/2018 06:25,,"C.HAB RESIDENCIAL SANTA CRUZ BLK G-406 , SAN ISIDRO",2-4,
"1,205",APOYO A PNP,15/10/2018 04:45,,"CA. FLORA TRISTAN N° 0395, SAN ISIDRO",1-3,
"1,206",APOYO A PNP,15/10/2018 03:45,,"AV. PEZET, GENERAL JUAN ANTONIO N° 0543 DPTO 701, SAN ISIDRO",2-5,
"1,207",APOYO A PNP,15/10/2018 01:34,,"C.HAB RESIDENCIAL SANTA CRUZ BLK A.401 , SAN ISIDRO",2-4,
"1,208",APOYO A PNP,15/10/2018 01:26,,"CA. ODRIOZOLA, CORONEL N° 0320, SAN ISIDRO",4-3,
"1,209",APOYO A PNP,15/10/2018 00:21,,"CA. CLEMENTE X, SAN ISIDRO",1-3,
"1,210",APOYO A PNP,14/10/2018 23:48,,"CA. FUENTES, MANUEL ATANASIO N° 0526, SAN ISIDRO",4-3,
"1,211",APOYO A PNP,14/10/2018 22:51,,"PQ. MIGUEL DAMMERT MUELLE N° 0125, SAN ISIDRO",1-5,
"1,212",APOYO A PNP,14/10/2018 22:49,,"CA. LAS CASAS N° 0031 DPTO 203, SAN ISIDRO",4-1,
"1,213",APOYO A PNP,14/10/2018 22:36,,"CA. CHABRIER, TENIENTE ALBERTO RENÉ, SAN ISIDRO",2-3,
"1,214",APOYO A PNP,14/10/2018 22:26,,"AV. PEZET, GENERAL JUAN ANTONIO, SAN ISIDRO",2-5,
"1,215",APOYO A PNP,14/10/2018 22:15,,"CA. BARCELONA, SAN ISIDRO",1-1,
"1,216",APOYO A PNP,14/10/2018 21:16,,"PZ. BOLLAR, PADRE CONSTANCIO N° 0313 DPTO 305, SAN ISIDRO",4-1,
"1,217",APOYO A PNP,14/10/2018 21:06,,"AV. MIRO QUESADA, AURELIO, SAN ISIDRO",1-5,
"1,218",APOYO A PNP,14/10/2018 20:49,,"C.HAB RESIDENCIAL SANTA CRUZ BLK L , SAN ISIDRO",2-4,
