N°,CASO,DÍA,FECHA,MODALIDAD,MEDIO,DIRECCIÓN
899,00764475,JUEVES,17/01/2019 23:52,,TELÉFONO,"AV. BELAUNDE, VÍCTOR A. 0147 - VIA PRINCIPAL, SAN ISIDRO"
900,00764474,JUEVES,17/01/2019 23:51,,TELÉFONO,"CA. LOS CEDROS, SAN ISIDRO"
901,00767110,JUEVES,17/01/2019 23:23,,RADIO,"AV. CAMINO REAL, SAN ISIDRO"
902,00764465,JUEVES,17/01/2019 22:41,,TELÉFONO,"AV. DEL PARQUE NORTE N° 0819, SAN ISIDRO"
903,00764461,JUEVES,17/01/2019 22:20,,TELÉFONO,"CA. 26 (URB. CORPAC) N° 0120, SAN ISIDRO"
904,00764451,JUEVES,17/01/2019 21:14,,TELÉFONO,"CA. CHINCHON N° 340944, SAN ISIDRO"
905,00764444,JUEVES,17/01/2019 20:37,,TELÉFONO,"CA. FLORA TRISTAN N° 0493, SAN ISIDRO"
906,00764442,JUEVES,17/01/2019 20:29,,TELÉFONO,"PQ. MARISCAL GAMARRA N° SN, SAN ISIDRO"
907,00764436,JUEVES,17/01/2019 20:14,,TELÉFONO,"AV. BASADRE GROHMANN, JORGE N° SN, SAN ISIDRO"
908,00764434,JUEVES,17/01/2019 19:46,,TELÉFONO,"AV. MIRO QUESADA, AURELIO N° 160136, SAN ISIDRO"
909,00764432,JUEVES,17/01/2019 18:58,,RADIO,"CA. CHOQUEHUANCA N° 1422, SAN ISIDRO"
910,00764423,JUEVES,17/01/2019 18:41,,TELÉFONO,"AV. MIRO QUESADA, AURELIO N° 160136, SAN ISIDRO"
911,00764421,JUEVES,17/01/2019 18:30,,TELÉFONO,"CA. OLAVIDE N° 030330, SAN ISIDRO"
912,00764417,JUEVES,17/01/2019 18:15,,TELÉFONO,"AV. DOS DE MAYO N° 1105, SAN ISIDRO"
913,00764416,JUEVES,17/01/2019 18:13,,TELÉFONO,"CA. LOS NARANJOS, SAN ISIDRO"
914,00764414,JUEVES,17/01/2019 18:07,,TELÉFONO,"AV. PASEO PARODI N° 080450 DPTO 401, SAN ISIDRO"
915,00764399,JUEVES,17/01/2019 17:06,,TELÉFONO,"CA. LOS NOGALES N° 0296, SAN ISIDRO"
916,00764386,JUEVES,17/01/2019 16:07,,TELÉFONO,"AV. REPUBLICA, PASEO DE LA, SAN ISIDRO"
917,00764429,JUEVES,17/01/2019 15:42,,RADIO,"AV. PRESCOTT, GUILLERMO N° 0490, SAN ISIDRO"
918,00764356,JUEVES,17/01/2019 14:21,,TELÉFONO,"AV. PRADO ESTE, JAVIER N° 1066, SAN ISIDRO"
919,00764352,JUEVES,17/01/2019 14:04,,TELÉFONO,"PQ. PARQUE TENIENTE ENRIQUE PALACIOS N° SN, SAN ISIDRO"
920,00764338,JUEVES,17/01/2019 13:22,,TELÉFONO,"AV. DASSO, MIGUEL N° 0104 PIS 7, SAN ISIDRO"
921,00764334,JUEVES,17/01/2019 13:02,,TELÉFONO,"CA. LOS FICUS N° 120355, SAN ISIDRO"
922,00764326,JUEVES,17/01/2019 12:29,,TELÉFONO,
923,00764311,JUEVES,17/01/2019 11:11,,TELÉFONO,"AV. GALVEZ BARRENECHEA, JOSÉ N° 1094, SAN ISIDRO"
924,00764305,JUEVES,17/01/2019 11:00,,TELÉFONO,"AV. DERTEANO, DIONISIO N° 010115, SAN ISIDRO"
925,00764303,JUEVES,17/01/2019 10:55,,TELÉFONO,"AV. REPUBLICA, PASEO DE LA, SAN ISIDRO"
926,00764294,JUEVES,17/01/2019 10:31,,TELÉFONO,"PQ. MIGUEL DAMMERT MUELLE N° 0125 DPTO 101, SAN ISIDRO"
927,00764290,JUEVES,17/01/2019 10:26,,TELÉFONO,"CA. PORRAS OSORES, CARLOS N° 0396, SAN ISIDRO"
928,00764275,JUEVES,17/01/2019 09:45,,TELÉFONO,"CA. MARCONI, GUILLERMO N° 0290, SAN ISIDRO"
929,00764270,JUEVES,17/01/2019 09:29,,TELÉFONO,"AV. ARAMBURU, ANDRÉS, SAN ISIDRO"
930,00764257,JUEVES,17/01/2019 08:34,,TELÉFONO,"AV. REPUBLICA, PASEO DE LA, SAN ISIDRO"
931,00764286,JUEVES,17/01/2019 08:26,,RADIO,"CA. POLAR, JUAN MANUEL N° 0125, SAN ISIDRO"
932,00764251,JUEVES,17/01/2019 08:02,,TELÉFONO,"AV. DE ALIAGA, JUAN, SAN ISIDRO"
933,00764250,JUEVES,17/01/2019 08:02,,TELÉFONO,"AV. BASADRE GROHMANN, JORGE N° 1393 DPTO 401, SAN ISIDRO"
934,00764284,JUEVES,17/01/2019 08:01,,RADIO,"CA. LOS ROBLES N° 0380, SAN ISIDRO"
935,00764249,JUEVES,17/01/2019 07:35,,TELÉFONO,"AV. PETIT THOUARS N° 133699, SAN ISIDRO"
936,00764245,JUEVES,17/01/2019 07:04,,TELÉFONO,"AV. CANAVAL MOREYRA, ENRIQUE N° 0628, SAN ISIDRO"
937,00764244,JUEVES,17/01/2019 06:54,,TELÉFONO,"CA. POLAR, JUAN MANUEL N° 0105, SAN ISIDRO"
938,00764238,JUEVES,17/01/2019 03:29,,TELÉFONO,"CA. LOS MILANOS N° 0193, SAN ISIDRO"
939,00764240,JUEVES,17/01/2019 02:55,,RADIO,"AV. PETIT THOUARS N° 093657, SAN ISIDRO"
940,00764239,JUEVES,17/01/2019 01:45,,RADIO,"AV. DE ARONA, JUAN, SAN ISIDRO"
941,00764195,MIÉRCOLES,16/01/2019 21:54,,TELÉFONO,"CA. FUENTES, MANUEL ATANASIO N° 050850, SAN ISIDRO"
942,00764194,MIÉRCOLES,16/01/2019 21:53,,TELÉFONO,"CA. 2 (URB. ORRANTIA DEL MAR - ZONA V) N° 0173, SAN ISIDRO"
943,00764193,MIÉRCOLES,16/01/2019 21:43,,TELÉFONO,"CA. LAS TORDILLAS N° 0152, SAN ISIDRO"
944,00764192,MIÉRCOLES,16/01/2019 21:41,,TELÉFONO,"AV. DE ALIAGA, JUAN N° 0702 DPTO 102, SAN ISIDRO"
945,00764174,MIÉRCOLES,16/01/2019 20:52,,TELÉFONO,"CA. ELESPURU, JUAN NORBERTO N° 0402, SAN ISIDRO"
946,00764168,MIÉRCOLES,16/01/2019 20:21,,TELÉFONO,"CA. CISNES N° 050121, SAN ISIDRO"
947,00764164,MIÉRCOLES,16/01/2019 20:12,,TELÉFONO,"AV. MIRO QUESADA, AURELIO, SAN ISIDRO"
948,00764159,MIÉRCOLES,16/01/2019 19:52,,TELÉFONO,"PQ. MIGUEL DAMMERT MUELLE N° SN, SAN ISIDRO"
949,00764158,MIÉRCOLES,16/01/2019 19:51,,TELÉFONO,"CA. VALMORE RONCALLA, DR. CAYETANO N° 0185, SAN ISIDRO"
950,00764155,MIÉRCOLES,16/01/2019 19:48,,RADIO,"MA. BERNALES GARCIA, LUIS N° SN, SAN ISIDRO"
951,00764147,MIÉRCOLES,16/01/2019 19:31,,TELÉFONO,"AV. PRADO ESTE, JAVIER, SAN ISIDRO"
952,00764131,MIÉRCOLES,16/01/2019 18:31,,TELÉFONO,"AV. PRESCOTT, GUILLERMO N° 0486, SAN ISIDRO"
953,00764120,MIÉRCOLES,16/01/2019 17:43,,RADIO,"AV. AREQUIPA, SAN ISIDRO"
954,00764116,MIÉRCOLES,16/01/2019 17:40,,RADIO,"AV. PRADO OESTE, JAVIER, SAN ISIDRO"
955,00764110,MIÉRCOLES,16/01/2019 17:30,,TELÉFONO,"CA. LAS CASTAÑITAS, SAN ISIDRO"
956,00764107,MIÉRCOLES,16/01/2019 17:21,,RADIO,"CA. 3 NORTE (URB. CORPAC) N° 150165, SAN ISIDRO"
957,00764106,MIÉRCOLES,16/01/2019 17:16,,TELÉFONO,"AV. PRADO OESTE, JAVIER, SAN ISIDRO"
958,00764102,MIÉRCOLES,16/01/2019 17:07,,RADIO,"CA. COLIBRIES N° 050100, SAN ISIDRO"
959,00764094,MIÉRCOLES,16/01/2019 16:39,,TELÉFONO,"CA. DELLEPIANI, JUAN, SAN ISIDRO"
960,00764089,MIÉRCOLES,16/01/2019 16:23,,TELÉFONO,"AV. PRADO ESTE, JAVIER, SAN ISIDRO"
961,00764080,MIÉRCOLES,16/01/2019 16:03,,TELÉFONO,"AV. ALVAREZ CALDERON N° 0290, SAN ISIDRO"
962,00764108,MIÉRCOLES,16/01/2019 15:54,,RADIO,"CA. 54 (URB. CORPAC) N° 050118, SAN ISIDRO"
963,00764072,MIÉRCOLES,16/01/2019 15:04,,TELÉFONO,"CA. LOS ALAMOS N° 0273, SAN ISIDRO"
964,00764059,MIÉRCOLES,16/01/2019 13:53,,TELÉFONO,"AV. DASSO, MIGUEL N° 0104 PIS 8, SAN ISIDRO"
965,00764045,MIÉRCOLES,16/01/2019 12:39,,TELÉFONO,"CA. LAS BEGONIAS N° 010545, SAN ISIDRO"
966,00764028,MIÉRCOLES,16/01/2019 11:32,,TELÉFONO,"PZ. BOLLAR, PADRE CONSTANCIO N° 190313, SAN ISIDRO"
967,00764023,MIÉRCOLES,16/01/2019 11:08,,TELÉFONO,"CA. ALDANA, LUIS N° 0273, SAN ISIDRO"
968,00764020,MIÉRCOLES,16/01/2019 10:54,,TELÉFONO,"CA. LAS BEGONIAS N° 070450, SAN ISIDRO"
969,00763987,MIÉRCOLES,16/01/2019 08:51,,TELÉFONO,"CA. PEREZ DE TUDELA, MANUEL N° 010143, SAN ISIDRO"
970,00763986,MIÉRCOLES,16/01/2019 08:50,,TELÉFONO,"AV. DERTEANO, DIONISIO, SAN ISIDRO"
971,00763981,MIÉRCOLES,16/01/2019 08:24,,TELÉFONO,"AV. AREQUIPA, SAN ISIDRO"
972,00763979,MIÉRCOLES,16/01/2019 08:22,,TELÉFONO,"CA. TUCANES N° 120295, SAN ISIDRO"
973,00763975,MIÉRCOLES,16/01/2019 07:50,,TELÉFONO,"C.HAB RESIDENCIAL SANTA CRUZ BLK B , SAN ISIDRO"
974,00763964,MIÉRCOLES,16/01/2019 05:40,,TELÉFONO,"CA. LOS LIBERTADORES N° 080670, SAN ISIDRO"
975,00763962,MIÉRCOLES,16/01/2019 02:14,,TELÉFONO,"AV. GALVEZ BARRENECHEA, JOSÉ N° 0384, SAN ISIDRO"
976,00763960,MIÉRCOLES,16/01/2019 01:42,,TELÉFONO,"AV. DEL PARQUE NORTE N° 0376, SAN ISIDRO"
977,00763958,MIÉRCOLES,16/01/2019 01:36,,TELÉFONO,"AV. DEL CAMPO, ALBERTO N° 190468 DPTO 503, SAN ISIDRO"
978,00763957,MIÉRCOLES,16/01/2019 01:34,,TELÉFONO,"AV. GUARDIA CIVIL, SAN ISIDRO"
979,00763955,MIÉRCOLES,16/01/2019 01:12,,TELÉFONO,"C.HAB RESIDENCIAL SANTA CRUZ BLK B , SAN ISIDRO"
980,00763949,MIÉRCOLES,16/01/2019 00:11,,TELÉFONO,"CA. ROCCA DE VERGALLO, NICANOR, SAN ISIDRO"
981,00763945,MARTES,15/01/2019 23:45,,TELÉFONO,"C.HAB RESIDENCIAL SANTA CRUZ BLK C , SAN ISIDRO"
982,00763942,MARTES,15/01/2019 23:16,,TELÉFONO,"CA. LOS EUCALIPTOS N° 030296 DPTO 1902, SAN ISIDRO"
983,00763939,MARTES,15/01/2019 23:07,,RADIO,"AV. CARRIQUIRY MAURER, PABLO, SAN ISIDRO"
984,00763933,MARTES,15/01/2019 22:50,,TELÉFONO,"CA. LOS SAUCES N° 170377, SAN ISIDRO"
985,00763932,MARTES,15/01/2019 22:49,,TELÉFONO,"CA. LOS SAUCES N° 010315 DPTO 1001, SAN ISIDRO"
986,00763931,MARTES,15/01/2019 22:45,,TELÉFONO,"AV. DEL PARQUE NORTE N° 0477 DPTO 301, SAN ISIDRO"
987,00763929,MARTES,15/01/2019 22:27,,TELÉFONO,"MA. BERNALES GARCIA, LUIS N° 0221, SAN ISIDRO"
988,00763918,MARTES,15/01/2019 21:54,,TELÉFONO,"CA. ROAUD Y PAZ SOLDAN, MANUEL N° 100136, SAN ISIDRO"
989,00767103,MARTES,15/01/2019 21:00,,RADIO,"AV. BELAUNDE, VÍCTOR ANDRÉS, SAN ISIDRO"
990,00763907,MARTES,15/01/2019 20:46,,TELÉFONO,"AV. REPUBLICA DE PANAMA, SAN ISIDRO"
991,00763893,MARTES,15/01/2019 19:36,,TELÉFONO,"AV. PEREZ ARANIBAR, AUGUSTO, SAN ISIDRO"
992,00763880,MARTES,15/01/2019 18:34,,TELÉFONO,"CA. VALMORE RONCALLA, DR. CAYETANO N° SN, SAN ISIDRO"
993,00763877,MARTES,15/01/2019 18:18,,TELÉFONO,"AV. GUARDIA CIVIL N° 1090, SAN ISIDRO"
994,00763869,MARTES,15/01/2019 17:46,,TELÉFONO,"CA. BILBAO N° 100312, SAN ISIDRO"
995,00763857,MARTES,15/01/2019 17:01,,TELÉFONO,"CA. FERREYROS URMENETA, DR. CARLOS ENRIQUE N° 0852, SAN ISIDRO"
996,00763855,MARTES,15/01/2019 16:49,,TELÉFONO,"AV. REPUBLICA, PASEO DE LA, SAN ISIDRO"
997,00763885,MARTES,15/01/2019 16:42,,RADIO,"AV. DE ARONA, JUAN N° 080151, SAN ISIDRO"
998,00763850,MARTES,15/01/2019 16:27,,TELÉFONO,"AV. DEL PARQUE SUR N° 0314, SAN ISIDRO"
999,00763840,MARTES,15/01/2019 16:05,,TELÉFONO,"AV. DEL PARQUE NORTE, SAN ISIDRO"
"1,000",00763839,MARTES,15/01/2019 16:00,,TELÉFONO,"AV. PEZET, GENERAL JUAN ANTONIO N° 1544, SAN ISIDRO"
"1,001",00763803,MARTES,15/01/2019 13:50,,TELÉFONO,"AV. PETIT THOUARS N° 012715, SAN ISIDRO"
"1,002",00763777,MARTES,15/01/2019 12:35,,TELÉFONO,"AV. PRADO ESTE, JAVIER N° 0318 DPTO 501, SAN ISIDRO"
"1,003",00763765,MARTES,15/01/2019 12:05,,TELÉFONO,"CA. RIO DE LA PLATA, SAN ISIDRO"
"1,004",00763769,MARTES,15/01/2019 11:38,,RADIO,"CA. LAS BEGONIAS N° 010646, SAN ISIDRO"
"1,005",00763748,MARTES,15/01/2019 11:31,,TELÉFONO,"AV. PEREZ ARANIBAR, AUGUSTO, SAN ISIDRO"
"1,006",00763718,MARTES,15/01/2019 10:08,,TELÉFONO,"CA. LA FUENTE, GENERAL N° 0266, SAN ISIDRO"
"1,007",00763727,MARTES,15/01/2019 08:24,,RADIO,"PQ. PARQUE JOSE LUIS BUSTAMANTE Y RIVERO N° SN, SAN ISIDRO"
"1,008",00763680,MARTES,15/01/2019 05:31,,TELÉFONO,"AV. REPUBLICA, PASEO DE LA, SAN ISIDRO"
"1,009",00763676,MARTES,15/01/2019 02:23,,TELÉFONO,"AV. DEL CAMPO, ALBERTO N° 0468, SAN ISIDRO"
"1,010",00763674,MARTES,15/01/2019 01:46,,TELÉFONO,"AV. SALAVERRY, GENERAL N° 2475, SAN ISIDRO"
"1,011",00763673,MARTES,15/01/2019 00:03,,TELÉFONO,"CA. HARRIS, PAUL P., SAN ISIDRO"
"1,012",00763672,LUNES,14/01/2019 23:59,,RADIO,"CA. LAS BEGONIAS N° 080705, SAN ISIDRO"
"1,013",00763671,LUNES,14/01/2019 23:58,,RADIO,"CA. LAS BEGONIAS N° 040718, SAN ISIDRO"
"1,014",00763670,LUNES,14/01/2019 23:48,,TELÉFONO,"CA. ANCHORENA, JOSÉ DIONISIO N° 0020 DPTO 903, SAN ISIDRO"
"1,015",00763666,LUNES,14/01/2019 23:21,,TELÉFONO,"AV. MIRO QUESADA, AURELIO, SAN ISIDRO"
"1,016",00763659,LUNES,14/01/2019 22:50,,TELÉFONO,"CA. LOS LAURELES N° 0265 DPTO 202 B, SAN ISIDRO"
"1,017",00763658,LUNES,14/01/2019 22:49,,TELÉFONO,"AV. PORTILLO, CORONEL PEDRO N° 0474, SAN ISIDRO"
"1,018",00763652,LUNES,14/01/2019 22:34,,TELÉFONO,"AV. DE ALIAGA, JUAN N° 0436 DPTO 1206, SAN ISIDRO"
"1,019",00763649,LUNES,14/01/2019 22:02,,TELÉFONO,"AV. DOS DE MAYO N° 020560, SAN ISIDRO"
"1,020",00763633,LUNES,14/01/2019 20:59,,TELÉFONO,"CA. BURGOS N° 0179 BLK E-302, SAN ISIDRO"
"1,021",00763613,LUNES,14/01/2019 19:27,,TELÉFONO,"CA. LOS ROBLES, SAN ISIDRO"
"1,022",00763594,LUNES,14/01/2019 18:26,,TELÉFONO,"CA. LOS LAURELES N° 0332 DPTO 103, SAN ISIDRO"
"1,023",00763590,LUNES,14/01/2019 17:42,,RADIO,"CA. LAS CAMELIAS, SAN ISIDRO"
"1,024",00763578,LUNES,14/01/2019 17:32,,TELÉFONO,"CA. SALAZAR, ALFÉREZ ALFREDO N° 0350, SAN ISIDRO"
"1,025",00763576,LUNES,14/01/2019 17:24,,TELÉFONO,"PQ. PARQUE JOSE LUIS BUSTAMANTE Y RIVERO N° SN, SAN ISIDRO"
"1,026",00763572,LUNES,14/01/2019 17:20,,TELÉFONO,"AV. MIRO QUESADA, AURELIO, SAN ISIDRO"
"1,027",00763555,LUNES,14/01/2019 16:16,,TELÉFONO,"PQ. PARQUE ALFONSO UGARTE N° SN, SAN ISIDRO"
"1,028",00763553,LUNES,14/01/2019 16:10,,TELÉFONO,"AV. PEREZ ARANIBAR, AUGUSTO N° 1897, SAN ISIDRO"
"1,029",00763517,LUNES,14/01/2019 14:12,,TELÉFONO,"AV. PRADO ESTE, JAVIER, SAN ISIDRO"
"1,030",00763493,LUNES,14/01/2019 13:01,,TELÉFONO,"CA. LOS LAURELES N° 020332, SAN ISIDRO"
"1,031",00763471,LUNES,14/01/2019 11:42,,TELÉFONO,"CA. LA FLORIDA N° 160130, SAN ISIDRO"
"1,032",00763465,LUNES,14/01/2019 11:26,,TELÉFONO,"AV. CARRIQUIRY MAURER, PABLO N° 0201, SAN ISIDRO"
"1,033",00763433,LUNES,14/01/2019 08:04,,TELÉFONO,"AV. PRADO OESTE, JAVIER N° 190769, SAN ISIDRO"
"1,034",00763429,LUNES,14/01/2019 07:48,,TELÉFONO,"CA. LOS MILANOS N° 0277, SAN ISIDRO"
"1,035",00763419,LUNES,14/01/2019 05:44,,RADIO,"AV. LOS CONQUISTADORES, SAN ISIDRO"
"1,036",00763418,LUNES,14/01/2019 05:13,,TELÉFONO,"CA. BILBAO N° 120270, SAN ISIDRO"
"1,037",00763412,LUNES,14/01/2019 02:46,,TELÉFONO,"CA. LAS BEGONIAS N° 070450, SAN ISIDRO"
"1,038",00763411,LUNES,14/01/2019 01:14,,TELÉFONO,"MA. BERNALES GARCIA, LUIS N° 0295 DPTO 201, SAN ISIDRO"
"1,039",00763405,LUNES,14/01/2019 00:57,,TELÉFONO,"CA. 18 NORTE (URB. CORPAC) N° SN, SAN ISIDRO"
"1,040",00763394,DOMINGO,13/01/2019 19:59,,TELÉFONO,"C.HAB RESIDENCIAL SANTA CRUZ BLK K 404, SAN ISIDRO"
"1,041",00763387,DOMINGO,13/01/2019 19:48,,TELÉFONO,"PQ. PARQUE GRECIA N° SN, SAN ISIDRO"
"1,042",00763380,DOMINGO,13/01/2019 18:44,,TELÉFONO,"AV. PEZET, GENERAL JUAN ANTONIO N° 1463 INT B, SAN ISIDRO"
"1,043",00763374,DOMINGO,13/01/2019 18:20,,TELÉFONO,"PQ. PARQUE DE ACOSTA JOSE N° SN, SAN ISIDRO"
"1,044",00763370,DOMINGO,13/01/2019 18:06,,TELÉFONO,"CA. LAS BEGONIAS N° 070450, SAN ISIDRO"
"1,045",00763368,DOMINGO,13/01/2019 17:48,,TELÉFONO,"AV. PRADO OESTE, JAVIER N° 080660 DPTO 202, SAN ISIDRO"
"1,046",00763364,DOMINGO,13/01/2019 17:01,,TELÉFONO,"AV. PETIT THOUARS N° 023626, SAN ISIDRO"
"1,047",00763363,DOMINGO,13/01/2019 16:57,,RADIO,"AV. GALVEZ BARRENECHEA, JOSÉ, SAN ISIDRO"
"1,048",00763360,DOMINGO,13/01/2019 16:32,,TELÉFONO,"C.HAB RESIDENCIAL SANTA CRUZ BLK L 208, SAN ISIDRO"
"1,049",00763356,DOMINGO,13/01/2019 16:16,,TELÉFONO,"AV. PETIT THOUARS N° 112833, SAN ISIDRO"
"1,050",00763352,DOMINGO,13/01/2019 15:55,,TELÉFONO,"AV. PEREZ ARANIBAR, AUGUSTO, SAN ISIDRO"
"1,051",00763349,DOMINGO,13/01/2019 15:37,,TELÉFONO,"AV. PASEO PARODI, SAN ISIDRO"
"1,052",00763345,DOMINGO,13/01/2019 15:19,,TELÉFONO,"PQ. PARQUE DE ACOSTA JOSE N° SN, SAN ISIDRO"
"1,053",00763341,DOMINGO,13/01/2019 14:48,,TELÉFONO,"AV. GALVEZ BARRENECHEA, JOSÉ DPTO 502, SAN ISIDRO"
"1,054",00763326,DOMINGO,13/01/2019 13:28,,TELÉFONO,"AV. PEREZ ARANIBAR, AUGUSTO N° 012402, SAN ISIDRO"
"1,055",00763323,DOMINGO,13/01/2019 12:23,,RADIO,"CA. LOS NOGALES N° 0239, SAN ISIDRO"
"1,056",00763310,DOMINGO,13/01/2019 12:23,,TELÉFONO,"C.HAB RESIDENCIAL SANTA CRUZ BLK L208 , SAN ISIDRO"
"1,057",00763306,DOMINGO,13/01/2019 11:56,,TELÉFONO,"AV. SALAVERRY, GENERAL N° 2417, SAN ISIDRO"
"1,058",00763296,DOMINGO,13/01/2019 11:24,,TELÉFONO,"AV. REPUBLICA DE PANAMA, SAN ISIDRO"
"1,059",00763321,DOMINGO,13/01/2019 11:23,,RADIO,"CA. GONZALES DE LA ROSA, MANUEL N° 0435, SAN ISIDRO"
"1,060",00763295,DOMINGO,13/01/2019 11:17,,TELÉFONO,"CA. ESPEJO, CASIMIRO, SAN ISIDRO"
"1,061",00763320,DOMINGO,13/01/2019 10:10,,RADIO,"CA. BARCELONA N° 0168, SAN ISIDRO"
"1,062",00763319,DOMINGO,13/01/2019 09:55,,RADIO,"AV. DE RIBERA, NICOLÁS N° 0610, SAN ISIDRO"
"1,063",00763287,DOMINGO,13/01/2019 09:52,,TELÉFONO,"C.HAB RESIDENCIAL SANTA CRUZ BLK J 201 , SAN ISIDRO"
"1,064",00763286,DOMINGO,13/01/2019 09:51,,TELÉFONO,"AV. DEL CAMPO, ALBERTO N° 0168, SAN ISIDRO"
"1,065",00763285,DOMINGO,13/01/2019 09:51,,TELÉFONO,"AV. MIRO QUESADA, AURELIO N° 0744 DPTO 801., SAN ISIDRO"
"1,066",00763279,DOMINGO,13/01/2019 09:10,,TELÉFONO,"CA. SALAZAR, ALFÉREZ ALFREDO N° 060654, SAN ISIDRO"
"1,067",00763278,DOMINGO,13/01/2019 09:07,,TELÉFONO,"CA. PORRAS OSORES, CARLOS N° 0396, SAN ISIDRO"
"1,068",00763317,DOMINGO,13/01/2019 08:58,,RADIO,"CA. LA TORRE, BALTAZAR N° 0573, SAN ISIDRO"
"1,069",00763275,DOMINGO,13/01/2019 07:57,,TELÉFONO,"CA. LOS CASTAÑOS N° 0275, SAN ISIDRO"
"1,070",00763282,DOMINGO,13/01/2019 07:35,,RADIO,"CA. LOS CEDROS N° 0285, SAN ISIDRO"
"1,071",00763315,DOMINGO,13/01/2019 07:26,,RADIO,"CA. LOS EUCALIPTOS N° 0296, SAN ISIDRO"
"1,072",00763229,DOMINGO,13/01/2019 01:24,,TELÉFONO,"CA. CLEMENTE X N° 180131, SAN ISIDRO"
"1,073",00763184,SÁBADO,12/01/2019 22:11,,TELÉFONO,"AV. PEZET, GENERAL JUAN ANTONIO, SAN ISIDRO"
"1,074",00763179,SÁBADO,12/01/2019 22:01,,TELÉFONO,"AV. PEREZ ARANIBAR, AUGUSTO N° 181780, SAN ISIDRO"
"1,075",00763175,SÁBADO,12/01/2019 21:38,,TELÉFONO,"AV. GUARDIA CIVIL, SAN ISIDRO"
"1,076",00763172,SÁBADO,12/01/2019 21:23,,TELÉFONO,"AV. DOS DE MAYO N° 010810 DPTO 302, SAN ISIDRO"
"1,077",00763168,SÁBADO,12/01/2019 21:10,,TELÉFONO,"CA. LOS LIBERTADORES, SAN ISIDRO"
"1,078",00763166,SÁBADO,12/01/2019 21:07,,TELÉFONO,"CA. A (URB. ORRANTIA DEL MAR - V ZONA) N° 0181, SAN ISIDRO"
"1,079",00763165,SÁBADO,12/01/2019 21:01,,TELÉFONO,"CA. UGARTE Y MOSCOSO, MANUEL SEBASTIAN N° 0580 DPTO 401, SAN ISIDRO"
"1,080",00763164,SÁBADO,12/01/2019 20:45,,TELÉFONO,"CA. FLORA TRISTAN N° 0493, SAN ISIDRO"
"1,081",00763163,SÁBADO,12/01/2019 20:35,,TELÉFONO,"CA. ACOSTA, CARLOS N° 0190 DPTO 04, SAN ISIDRO"
"1,082",00763158,SÁBADO,12/01/2019 20:14,,TELÉFONO,"AV. PETIT THOUARS N° 3610 INT 3A, SAN ISIDRO"
"1,083",00763155,SÁBADO,12/01/2019 19:30,,RADIO,"AV. DOS DE MAYO N° 1002, SAN ISIDRO"
"1,084",00763147,SÁBADO,12/01/2019 19:09,,TELÉFONO,"CA. LAS GROJILLAS N° 0355, SAN ISIDRO"
"1,085",00763144,SÁBADO,12/01/2019 19:00,,TELÉFONO,"CA. HARRIS, PAUL P. N° 0526, SAN ISIDRO"
"1,086",00763142,SÁBADO,12/01/2019 18:55,,TELÉFONO,"AV. MIRO QUESADA, AURELIO, SAN ISIDRO"
"1,087",00763140,SÁBADO,12/01/2019 18:41,,TELÉFONO,"AV. PRADO ESTE, JAVIER N° 1066, SAN ISIDRO"
"1,088",00763130,SÁBADO,12/01/2019 17:46,,TELÉFONO,"CA. LOS ANADES N° 0211, SAN ISIDRO"
"1,089",00763121,SÁBADO,12/01/2019 17:01,,TELÉFONO,"CA. GOLONDRINAS N° 0286, SAN ISIDRO"
"1,090",00763117,SÁBADO,12/01/2019 16:43,,TELÉFONO,"CA. EL PARQUE, SAN ISIDRO"
"1,091",00763113,SÁBADO,12/01/2019 16:39,,TELÉFONO,"C.HAB RESIDENCIAL SANTA CRUZ BLK L 208 , SAN ISIDRO"
"1,092",00763112,SÁBADO,12/01/2019 16:37,,TELÉFONO,"AV. PEREZ ARANIBAR, AUGUSTO N° 1847, SAN ISIDRO"
"1,093",00763111,SÁBADO,12/01/2019 16:35,,TELÉFONO,"AV. ARAMBURU, ANDRÉS N° 0355, SAN ISIDRO"
"1,094",00763110,SÁBADO,12/01/2019 16:34,,TELÉFONO,"AV. DOS DE MAYO N° 010810 PIS 9, SAN ISIDRO"
"1,095",00763107,SÁBADO,12/01/2019 16:25,,TELÉFONO,"AV. LOS CONQUISTADORES N° 080461, SAN ISIDRO"
"1,096",00763102,SÁBADO,12/01/2019 16:05,,TELÉFONO,"CA. EGUIGUREN, FRANCISCO JOSÉ N° 0120, SAN ISIDRO"
"1,097",00763103,SÁBADO,12/01/2019 16:05,,TELÉFONO,"AV. GUARDIA CIVIL N° 0994, SAN ISIDRO"
"1,098",00763083,SÁBADO,12/01/2019 14:49,,TELÉFONO,"AV. REPUBLICA DE COLOMBIA N° 0260, SAN ISIDRO"
"1,099",00763081,SÁBADO,12/01/2019 14:45,,TELÉFONO,"CA. GONZALES OLAECHEA, MANUEL N° 0450, SAN ISIDRO"
"1,100",00763076,SÁBADO,12/01/2019 14:32,,TELÉFONO,"AV. SANTO TORIBIO N° 070410, SAN ISIDRO"
"1,101",00763069,SÁBADO,12/01/2019 14:09,,TELÉFONO,"CA. GONZALES OLAECHEA, MANUEL N° 0450, SAN ISIDRO"
"1,102",00763064,SÁBADO,12/01/2019 14:03,,TELÉFONO,"CA. COCHRANE, ALMIRANTE LORD INT E, SAN ISIDRO"
